Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-BPR-100.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-BPR-100.txt', log_freq=1, loss_type='BPR', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=100, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 76, 'rec_avg_loss': '0.00001526', 'rec_cur_loss': '0.00001436', 'total training time': '237.6616', 'max mem': '285'}
{'epoch': 77, 'rec_avg_loss': '0.00001537', 'rec_cur_loss': '0.00002376', 'total training time': '240.8699', 'max mem': '285'}
{'epoch': 78, 'rec_avg_loss': '0.00001376', 'rec_cur_loss': '0.00001253', 'total training time': '243.8721', 'max mem': '285'}
{'epoch': 79, 'rec_avg_loss': '0.00001340', 'rec_cur_loss': '0.00000816', 'total training time': '247.2979', 'max mem': '285'}
{'epoch': 80, 'rec_avg_loss': '0.00001244', 'rec_cur_loss': '0.00000824', 'total training time': '250.2492', 'max mem': '285'}
{'epoch': 81, 'rec_avg_loss': '0.00001241', 'rec_cur_loss': '0.00001091', 'total training time': '253.5993', 'max mem': '285'}
{'epoch': 82, 'rec_avg_loss': '0.00001144', 'rec_cur_loss': '0.00000467', 'total training time': '256.6413', 'max mem': '285'}
{'epoch': 83, 'rec_avg_loss': '0.00001103', 'rec_cur_loss': '0.00000858', 'total training time': '259.8452', 'max mem': '285'}
{'epoch': 84, 'rec_avg_loss': '0.00001044', 'rec_cur_loss': '0.00000790', 'total training time': '262.6627', 'max mem': '285'}
{'epoch': 85, 'rec_avg_loss': '0.00001002', 'rec_cur_loss': '0.00001299', 'total training time': '265.9232', 'max mem': '285'}
{'epoch': 86, 'rec_avg_loss': '0.00000913', 'rec_cur_loss': '0.00001476', 'total training time': '268.7512', 'max mem': '285'}
{'epoch': 87, 'rec_avg_loss': '0.00000911', 'rec_cur_loss': '0.00001301', 'total training time': '271.9846', 'max mem': '285'}
{'epoch': 88, 'rec_avg_loss': '0.00000885', 'rec_cur_loss': '0.00000558', 'total training time': '274.7915', 'max mem': '285'}
{'epoch': 89, 'rec_avg_loss': '0.00000799', 'rec_cur_loss': '0.00000625', 'total training time': '278.1699', 'max mem': '285'}
{'epoch': 90, 'rec_avg_loss': '0.00000808', 'rec_cur_loss': '0.00000553', 'total training time': '281.0625', 'max mem': '285'}
{'epoch': 91, 'rec_avg_loss': '0.00000751', 'rec_cur_loss': '0.00000789', 'total training time': '284.4010', 'max mem': '285'}
{'epoch': 92, 'rec_avg_loss': '0.00000843', 'rec_cur_loss': '0.00000956', 'total training time': '287.3297', 'max mem': '285'}
{'epoch': 93, 'rec_avg_loss': '0.00000769', 'rec_cur_loss': '0.00000666', 'total training time': '290.6526', 'max mem': '285'}
{'epoch': 94, 'rec_avg_loss': '0.00000655', 'rec_cur_loss': '0.00000540', 'total training time': '293.5268', 'max mem': '285'}
{'epoch': 95, 'rec_avg_loss': '0.00000710', 'rec_cur_loss': '0.00000539', 'total training time': '296.7809', 'max mem': '285'}
{'epoch': 96, 'rec_avg_loss': '0.00000609', 'rec_cur_loss': '0.00000496', 'total training time': '299.7899', 'max mem': '285'}
{'epoch': 97, 'rec_avg_loss': '0.00000535', 'rec_cur_loss': '0.00000257', 'total training time': '303.0943', 'max mem': '285'}
{'epoch': 98, 'rec_avg_loss': '0.00000572', 'rec_cur_loss': '0.00000615', 'total training time': '305.9890', 'max mem': '285'}
{'epoch': 99, 'rec_avg_loss': '0.00000527', 'rec_cur_loss': '0.00000245', 'total training time': '309.1470', 'max mem': '285'}
{'epoch': 100, 'rec_avg_loss': '0.00000739', 'rec_cur_loss': '0.00004092', 'total training time': '312.1972', 'max mem': '285'}
{'epoch': 101, 'rec_avg_loss': '0.00000736', 'rec_cur_loss': '0.00000432', 'total training time': '315.3259', 'max mem': '285'}
{'epoch': 102, 'rec_avg_loss': '0.00000468', 'rec_cur_loss': '0.00000198', 'total training time': '318.4294', 'max mem': '285'}
{'epoch': 103, 'rec_avg_loss': '0.00000455', 'rec_cur_loss': '0.00000758', 'total training time': '321.3721', 'max mem': '285'}
{'epoch': 104, 'rec_avg_loss': '0.00000459', 'rec_cur_loss': '0.00000365', 'total training time': '324.4248', 'max mem': '285'}
{'epoch': 105, 'rec_avg_loss': '0.00000370', 'rec_cur_loss': '0.00000264', 'total training time': '327.3824', 'max mem': '285'}
{'epoch': 106, 'rec_avg_loss': '0.00000415', 'rec_cur_loss': '0.00000367', 'total training time': '330.7466', 'max mem': '285'}
{'epoch': 107, 'rec_avg_loss': '0.00000346', 'rec_cur_loss': '0.00000243', 'total training time': '333.8241', 'max mem': '285'}
{'epoch': 108, 'rec_avg_loss': '0.00000376', 'rec_cur_loss': '0.00000149', 'total training time': '336.9313', 'max mem': '285'}
{'epoch': 109, 'rec_avg_loss': '0.00000300', 'rec_cur_loss': '0.00000264', 'total training time': '339.8347', 'max mem': '285'}
{'epoch': 110, 'rec_avg_loss': '0.00000331', 'rec_cur_loss': '0.00000138', 'total training time': '343.0079', 'max mem': '285'}
{'epoch': 111, 'rec_avg_loss': '0.00000287', 'rec_cur_loss': '0.00000126', 'total training time': '345.8893', 'max mem': '285'}
