Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-TOP1-max-10.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-TOP1-max-10.txt', log_freq=1, loss_type='TOP1-max', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=10, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 97, 'rec_avg_loss': '0.00127818', 'rec_cur_loss': '0.00129630', 'total training time': '293.5402', 'max mem': '285'}
{'epoch': 98, 'rec_avg_loss': '0.00128385', 'rec_cur_loss': '0.00165858', 'total training time': '296.6204', 'max mem': '285'}
{'epoch': 99, 'rec_avg_loss': '0.00127743', 'rec_cur_loss': '0.00121548', 'total training time': '299.5648', 'max mem': '285'}
{'epoch': 100, 'rec_avg_loss': '0.00128112', 'rec_cur_loss': '0.00144661', 'total training time': '302.6880', 'max mem': '285'}
{'epoch': 101, 'rec_avg_loss': '0.00127598', 'rec_cur_loss': '0.00124692', 'total training time': '305.5922', 'max mem': '285'}
{'epoch': 102, 'rec_avg_loss': '0.00127918', 'rec_cur_loss': '0.00139688', 'total training time': '308.5547', 'max mem': '285'}
{'epoch': 103, 'rec_avg_loss': '0.00128934', 'rec_cur_loss': '0.00132215', 'total training time': '311.7598', 'max mem': '285'}
{'epoch': 104, 'rec_avg_loss': '0.00126652', 'rec_cur_loss': '0.00151085', 'total training time': '314.6458', 'max mem': '285'}
{'epoch': 105, 'rec_avg_loss': '0.00127038', 'rec_cur_loss': '0.00113485', 'total training time': '317.6701', 'max mem': '285'}
{'epoch': 106, 'rec_avg_loss': '0.00126726', 'rec_cur_loss': '0.00128122', 'total training time': '320.6398', 'max mem': '285'}
{'epoch': 107, 'rec_avg_loss': '0.00126660', 'rec_cur_loss': '0.00118149', 'total training time': '323.8146', 'max mem': '285'}
{'epoch': 108, 'rec_avg_loss': '0.00126309', 'rec_cur_loss': '0.00120438', 'total training time': '326.6994', 'max mem': '285'}
